,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
517,Gasht Rodkan Protected Area,National park,4.5,303.0,"National park, Tourist attraction","Gasht Rodkan Protected Area, 357H+J9Q, Gilan Province",Rasht,Iran,Gilan,,Nature,1363.5,4.34,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
518,sd khkhy sqlkhsr,Tourist attraction,4.6,189.0,Tourist attraction,"Gilan Province, Aqa Sayyed Sharif, stn gyln, aq syd shryf,,, Seghaleksar Rd, sd khkhy sqlkhsr",Rasht,Iran,Gilan,,Entertainment,869.4,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
519,Mafakher Park,Park,4.3,148.0,"Park, City park, Tourist attraction","Mafakher Park, 7HC7+M3G, Rasht, Gilan Province",Rasht,Iran,Gilan,,Nature,636.4,4.34,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
520,Imamzadeh Ebrahim Waterfall,Tourist attraction,4.4,112.0,Tourist attraction,"Gilan Province, shft, Imamzadeh Ebrahim Rd, X8G5+FM2 Imamzadeh Ebrahim Waterfall",Rasht,Iran,Gilan,,Entertainment,492.80000000000007,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
521,Tomb of Houshang Ebtehaj,Tourist attraction,4.7,61.0,Tourist attraction,"Tomb of Houshang Ebtehaj, 7H9M+86H Distirct 2, Rasht, Gilan Province",Rasht,Iran,Gilan,,Entertainment,286.7,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
522,bndr nzly,Tourist attraction,4.6,56.0,Tourist attraction,"bndr nzly, FG75+XQ3, Bandar Anzali, Gilan Province",Rasht,Iran,Gilan,,Entertainment,257.59999999999997,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
523,Golestan National Park,National park,4.4,459.0,"National park, Tourist attraction","Golestan National Park, Qesdi, North Khorasan Province",Bojnurd,Iran,Golestan,,Nature,2019.6000000000001,4.55,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
524,Sardar Mofakham Mirror House,History museum,4.3,130.0,History museum,"North Khorasan Province, Bojnurd, North Shariati, F8MM+M63 Sardar Mofakham Mirror House",Bojnurd,Iran,North Khorasan,,Cultural,559.0,4.3,Bojnurd
525,Chamran Park,Park,4.4,812.0,"Park, Tourist attraction","Alborz Province, Karaj, Chamran Blvd, R233+5X8 Chamran Park",Savojbolagh,Iran,Alborz,,Nature,3572.8,4.38,"Dizin, Karaj, Savojbolagh"
526,Iran Zamin Park,Park,4.6,322.0,"Park, Tourist attraction","Tehran Province, Karaj, Azimieh, Dr. Shariati Boulvard, R2P9+H92 Iran Zamin Park",Savojbolagh,Iran,Tehran,,Nature,1481.1999999999998,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
