,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
0,Meymand Rocky Village,Historical place,4.7,133.0,"Historical place, Tourist attraction","Meymand Rocky Village, 69JH+H2W, Meymand, Kerman Province",Meymand,Iran,Kerman,,Cultural,625.1,4.7,"Jiroft, Kerman, Meymand, Rafsanjan"
1,Dena Protected Area,National park,4.4,89.0,"National park, Tourist attraction","Kohgiluyeh and Boyer-Ahmad Province, 55, XCG3+8V2 Dena Protected Area",Yasouj,Iran,Kohgiluyeh and Buyer Ahmad,,Nature,391.6,4.4,Yasouj
2,Tang-e Tamoradi Waterfall,Tourist attraction,4.5,413.0,Tourist attraction,"Kohgiluyeh and Boyer-Ahmad Province, Baba Meydan-e Sofla, jdh yswj-bbmydn, GC79+CCG Tang-e Tamoradi Waterfall",Yasouj,Iran,Kohgiluyeh and Buyer Ahmad,,Entertainment,1858.5,4.49,Yasouj
3,tng mhryn,Tourist attraction,4.4,67.0,Tourist attraction,"Kohgiluyeh and Boyer-Ahmad Province, Yasuj, jdh yswj-qlyd, PH3J+477 tng mhryn",Yasouj,Iran,Kohgiluyeh and Buyer Ahmad,,Entertainment,294.8,4.49,Yasouj
4,Alangdareh Park,National forest,4.6,683.0,"National forest, Tourist attraction","Golestan Province, Gorgan, Alangdareh Rd, No. Nahar Khoran, QCRX+XQP Alangdareh Park",Gorgan,Iran,Golestan,,Nature,3141.7999999999997,4.55,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
5,Gorgan Palace Museum,Historical place museum,4.1,124.0,"Historical place museum, Tourist attraction","Gorgan Palace Museum, RCQM+FW2, Gorgan, Golestan Province",Gorgan,Iran,Golestan,,Cultural,508.4,4.4,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
6,Jahan Nama Protected Area.,Nature preserve,4.6,122.0,"Nature preserve, Tourist attraction","Jahan Nama Protected Area., J88F+XWX, Hajiabad, Golestan Province",Gorgan,Iran,Golestan,,Nature,561.1999999999999,4.55,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
7,Sueh Chaleh,Tourist attraction,4.7,1579.0,Tourist attraction,"Sueh Chaleh, 7WVX+Q8W, Masal, Gilan Province",Masouleh,Iran,Gilan,,Entertainment,7421.3,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
8,Masuleh Tourism Village,Tourist attraction,4.6,914.0,Tourist attraction,"Gilan Province, Masuleh, Masole-Gilavan Rd, 5X3Q+JX9 Masuleh Tourism Village",Masouleh,Iran,Gilan,,Entertainment,4204.4,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
9,Olsabelangah,Tourist attraction,4.7,885.0,Tourist attraction,"Olsabelangah, 8X66+25X, Tanian, Gilan Province",Masouleh,Iran,Gilan,,Entertainment,4159.5,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
10,Masouleh Waterfall,Scenic spot,4.5,713.0,"Scenic spot, Historical landmark, Tourist attraction","Masouleh Waterfall, 5X3J+7WQ, Masuleh, Gilan Province",Masouleh,Iran,Gilan,,Nature,3208.5,4.34,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
11,Zomorrod Waterfall,Landmark,4.6,520.0,"Landmark, Tourist attraction","Zomorrod Waterfall, 4R79+WPV, Zomori, Gilan Province",Masouleh,Iran,Gilan,,Cultural,2392.0,4.59,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
12,Gasht Rodkan Protected Area,National park,4.5,303.0,"National park, Tourist attraction","Gasht Rodkan Protected Area, 357H+J9Q, Gilan Province",Masouleh,Iran,Gilan,,Nature,1363.5,4.34,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
13,Great Museum of Zahedan,Museum,4.4,151.0,"Museum, Tourist attraction","Sistan and Baluchestan Province, Zahedan, Motahhari Blvd, FVMF+W6M Great Museum of Zahedan",Zahedan,Iran,Sistan and Baluchestan,,Cultural,664.4000000000001,4.21,"Iranshahr, Nikshahr, Zabol, Zahedan"
14,Motel Qu Beach,Tourist attraction,4.3,517.0,Tourist attraction,"Motel Qu Beach, Salman Shahr, Mazandaran Province",Nowshahr,Iran,Mazandaran,,Entertainment,2223.1,4.48,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
15,Tangeh Daar,Tourist attraction,4.6,450.0,Tourist attraction,"Tangeh Daar, JFH2+CFG, Chalus, Mazandaran Province",Nowshahr,Iran,Mazandaran,,Entertainment,2070.0,4.48,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
16,Radio Darya Beach,Public beach,4.1,401.0,"Public beach, Tourist attraction","Radio Darya Beach, MCJP+8W7, Chalus, Mazandaran Province",Nowshahr,Iran,Mazandaran,,Nature,1644.1,4.41,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
17,Avidar Embankment Dam,Tourist attraction,4.3,396.0,Tourist attraction,"Avidar Embankment Dam, HR26+XGM, Molla Kala, Mazandaran Province",Nowshahr,Iran,Mazandaran,,Entertainment,1702.8,4.48,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
18,Abbas abad Jungle,Tourist attraction,4.6,281.0,Tourist attraction,"Mazandaran Province, Kelardasht, Abbasabad - Kelardasht Rd, J44G+QJ7 Abbas abad Jungle",Nowshahr,Iran,Mazandaran,,Entertainment,1292.6,4.48,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
19,Kouhsar Waterfall,Tourist attraction,4.4,252.0,Tourist attraction,"Kouhsar Waterfall, M2CH+X4W, Nashtarud, Mazandaran Province",Nowshahr,Iran,Mazandaran,,Entertainment,1108.8000000000002,4.48,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
20,Danial Cave,Tourist attraction,4.3,218.0,"Tourist attraction, Park","Danial Cave, M56J+29G, Jisa, Mazandaran Province",Nowshahr,Iran,Mazandaran,,Entertainment,937.4,4.48,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
21,Doryouk Swamp,Tourist attraction,4.6,163.0,"Tourist attraction, Nature preserve","Doryouk Swamp, H6W5+42M, Peyambur, Mazandaran Province",Nowshahr,Iran,Mazandaran,,Entertainment,749.8,4.48,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
22,Laton Barzov Waterfall,Tourist attraction,4.7,312.0,Tourist attraction,"Laton Barzov Waterfall, 8PCG+CW6, Gilan Province",Astara,Iran,Gilan,,Entertainment,1466.4,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
23,Beach Park,Park,4.1,122.0,"Park, Tourist attraction","Beach Park, CVHJ+R9F, Astara, Gilan Province",Astara,Iran,Gilan,,Nature,500.19999999999993,4.34,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
24,Bibi Yanlu Forest Park,National forest,4.3,74.0,"National forest, Tourist attraction","Bibi Yanlu Forest Park, CQVP+GF4, Astara, Gilan Province",Astara,Iran,Gilan,,Nature,318.2,4.34,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
25,Kaboudwall Waterfall,Tourist attraction,4.5,1324.0,Tourist attraction,"Kaboudwall Waterfall, VVCQ+RF3, Ali Abad, Golestan Province",Aliabad-katul,Iran,Golestan,,Entertainment,5958.0,4.5,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
26,Gol Ramian Lake,Tourist attraction,4.3,76.0,Tourist attraction,"Gol Ramian Lake, X4G4+F8M, Aliabad, Razavi Khorasan Province",Aliabad-katul,Iran,Razavi Khorasan,,Entertainment,326.8,4.57,"Aliabad-katul, Mashhad, Nishapur, Sabzevar, Torbat-e-heydarieh, Torbat-e-jam"
27,Ziarat Waterfall,Tourist attraction,4.4,76.0,Tourist attraction,"Golestan Province, Ziarat, jdh, MFF8+95X Ziarat Waterfall",Aliabad-katul,Iran,Golestan,,Entertainment,334.40000000000003,4.5,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
28,Choqa Park,Park,4.2,162.0,"Park, Tourist attraction","Choqa Park, WP4F+PR5, Borujerd, Lorestan Province",Borujerd,Iran,Lorestan,,Nature,680.4,4.27,"Borujerd, Khorramabad"
29,Borujerd Roof,Tourist attraction,4.2,108.0,Tourist attraction,"Lorestan Province, Borujerd, wrwdy tph chG, WP3G+C3J Borujerd Roof",Borujerd,Iran,Lorestan,,Entertainment,453.6,4.33,"Borujerd, Khorramabad"
30,Borujerd Jame Mosque,Mosque,4.4,89.0,"Mosque, Tourist attraction","Lorestan Province, Borujerd, Jafari St, VQW7+8CF Borujerd Jame Mosque",Borujerd,Iran,Lorestan,,Religious,391.6,4.4,"Borujerd, Khorramabad"
31,Eftekhar Al-Islam Historical House,Tourist attraction,4.3,72.0,Tourist attraction,"Eftekhar Al-Islam Historical House, WQ25+M2H, Borujerd, Lorestan Province",Borujerd,Iran,Lorestan,,Entertainment,309.59999999999997,4.33,"Borujerd, Khorramabad"
32,shhrbzy fdkh,Amusement park,4.2,65.0,"Amusement park, Tourist attraction","shhrbzy fdkh, VPXG+JW3, Borujerd, Lorestan Province",Borujerd,Iran,Lorestan,,Entertainment,273.0,4.33,"Borujerd, Khorramabad"
33,prkh smwr (bhsht),Park,4.1,53.0,"Park, Tourist attraction","prkh smwr (bhsht), WP5J+GMG, Borujerd, Lorestan Province",Borujerd,Iran,Lorestan,,Nature,217.29999999999998,4.27,"Borujerd, Khorramabad"
34,Sialk Archeological Hills,Historical place,4.3,579.0,"Historical place, Museum, Tourist attraction","Sialk Archeological Hills, XC93+FPC, Kashan, Isfahan Province",Kashan,Iran,Isfahan,,Cultural,2489.7,4.54,"Abyaneh, Isfahan, Jolfa, Kashan, Khansar, Natanz, Varzaneh"
35,Fin Garden,Tourist attraction,4.5,3391.0,"Tourist attraction, Garden, Historical place museum","Isfahan Province, Kashan, Amir Kabir St, Fin Garden",Kashan,Iran,Isfahan,,Entertainment,15259.5,4.51,"Abyaneh, Isfahan, Jolfa, Kashan, Khansar, Natanz, Varzaneh"
36,Tabatabaei Historical House,Tourist attraction,4.6,1240.0,"Tourist attraction, Visitor center","Isfahan Province, Kashan, Alavi St, XCGQ+3Q8 Tabatabaei Historical House",Kashan,Iran,Isfahan,,Entertainment,5704.0,4.51,"Abyaneh, Isfahan, Jolfa, Kashan, Khansar, Natanz, Varzaneh"
37,Agha Bozorg Mosque,Mosque,4.5,609.0,Mosque,"Isfahan Province, Kashan, khwchh msjd aq bzrg, XCHW+93G Agha Bozorg Mosque",Kashan,Iran,Isfahan,,Religious,2740.5,4.61,"Abyaneh, Isfahan, Jolfa, Kashan, Khansar, Natanz, Varzaneh"
38,Bazaar of Kashan,Market,4.3,521.0,Market,"Isfahan Province, Kashan, Bazaar of Kashan, XCJW+WFQ Bazaar of Kashan",Kashan,Iran,Isfahan,,Entertainment,2240.2999999999997,4.51,"Abyaneh, Isfahan, Jolfa, Kashan, Khansar, Natanz, Varzaneh"
39,Abbasian Historical House,Tourist attraction,4.5,483.0,Tourist attraction,"Isfahan Province, Kashan, Alavi St, XCGR+F5X Abbasian Historical House",Kashan,Iran,Isfahan,,Entertainment,2173.5,4.51,"Abyaneh, Isfahan, Jolfa, Kashan, Khansar, Natanz, Varzaneh"
40,Sultan Amir Ahmad Bathhouse,Tourist attraction,4.6,422.0,"Tourist attraction, Historical place","Sultan Amir Ahmad Bathhouse, XCGR+3CC, Kashan, Isfahan Province",Kashan,Iran,Isfahan,,Entertainment,1941.1999999999998,4.51,"Abyaneh, Isfahan, Jolfa, Kashan, Khansar, Natanz, Varzaneh"
41,Aminoddole Caravanserai,Tourist attraction,4.6,290.0,Tourist attraction,"Aminoddole Caravanserai, XCMX+MGM, Kashan, Isfahan Province",Kashan,Iran,Isfahan,,Entertainment,1334.0,4.51,"Abyaneh, Isfahan, Jolfa, Kashan, Khansar, Natanz, Varzaneh"
42,Taj Historical House,Tourist attraction,4.1,82.0,"Tourist attraction, Historical place","Isfahan Province, Kashan, Alavi St, XCGR+M4F Taj Historical House",Kashan,Iran,Isfahan,,Entertainment,336.2,4.51,"Abyaneh, Isfahan, Jolfa, Kashan, Khansar, Natanz, Varzaneh"
43,Salehin and nikan Ship,Tourist attraction,4.1,97.0,Tourist attraction,"Salehin and nikan Ship, PJ4X+PP6, Babolsar, Mazandaran Province",Babolsar,Iran,Mazandaran,,Entertainment,397.7,4.48,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
44,Noshirvani Park,Park,4.3,237.0,"Park, Tourist attraction","Noshirvani Park, HMGG+P33, Babol, Mazandaran Province",Babolsar,Iran,Mazandaran,,Nature,1019.0999999999999,4.41,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
45,Babolsar suspension bridge,Bridge,4.3,66.0,"Bridge, Tourist attraction","Mazandaran Province, Babolsar, Pasdaran St, MJXV+H8W Babolsar suspension bridge",Babolsar,Iran,Mazandaran,,Cultural,283.8,4.49,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
46,sHl sngy,Tourist attraction,4.4,62.0,Tourist attraction,"Mazandaran Province, Babolsar, Unnamed Road, PM84+484 sHl sngy",Babolsar,Iran,Mazandaran,,Entertainment,272.8,4.48,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
47,Tomb of Sheikh Ahmad-e Jami,Tourist attraction,4.6,136.0,"Tourist attraction, Historical place","Tomb of Sheikh Ahmad-e Jami, 6JWH+VJ7, Torbat-e-Jam, Razavi Khorasan Province",Torbat-e-jam,Iran,Razavi Khorasan,,Entertainment,625.5999999999999,4.57,"Aliabad-katul, Mashhad, Nishapur, Sabzevar, Torbat-e-heydarieh, Torbat-e-jam"
48,Milad Tower,Tourist attraction,4.4,10937.0,Tourist attraction,"Milad Tower, Tehran, Tehran Province",Tehran,Iran,Tehran,,Entertainment,48122.8,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
49,Azadi Tower,Tourist attraction,4.4,8294.0,Tourist attraction,"Tehran Province, Tehran, Azadi Sq, Azadi Tower",Tehran,Iran,Tehran,,Entertainment,36493.600000000006,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
50,Tabiat Bridge,Tourist attraction,4.6,7836.0,"Tourist attraction, Bridge, Pedestrian zone","Tehran, tgrh shhyd mdrs, QC3C+Q4H Tabiat Bridge",Tehran,Iran,Tehran,,Entertainment,36045.6,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
51,Golestan Palace,Historical place museum,4.6,5769.0,"Historical place museum, Historical landmark, Tourist attraction","Tehran District 12 Fifth Khordad Avenue Arg Sqr, Panzdah-e-Khordad St, Golestan Palace",Tehran,Iran,Tehran,,Cultural,26537.399999999998,4.56,"Iranshahr, Karaj, Savojbolagh, Tehran"
52,Saadabad Cultural and Historical Complex,Historical place museum,4.6,3892.0,"Historical place museum, Historical landmark, History museum, Museum, Tourist attraction","Tehran Province, Tajrish, District 1, Taheri St, Saadabad Cultural and Historical Complex",Tehran,Iran,Tehran,,Cultural,17903.199999999997,4.56,"Iranshahr, Karaj, Savojbolagh, Tehran"
53,Tehran Birds Garden,Garden,4.3,1824.0,"Garden, Tourist attraction","Tehran Birds Garden, QG9H+7QP District 4, Tehran, Tehran Province",Tehran,Iran,Tehran,,Nature,7843.2,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
54,Time Museum,Museum,4.4,972.0,"Museum, Tourist attraction","Tehran Province, Tehran, Tehran Province, Tehran, First floor of the Major-Sargar Fallahi, Za'faraniye, street No. 12, Zaferaniyeh St, RC49+4JM Time Museum",Tehran,Iran,Tehran,,Cultural,4276.8,4.56,"Iranshahr, Karaj, Savojbolagh, Tehran"
55,Azadi Tower Museum,History museum,4.5,390.0,"History museum, Museum, Tourist attraction","Tehran Province, Tehran, District 10, Azadi, M8XQ+VCV Azadi Tower Museum",Tehran,Iran,Tehran,,Cultural,1755.0,4.56,"Iranshahr, Karaj, Savojbolagh, Tehran"
56,Mellat Park,City park,4.5,3882.0,"City park, Park, Tourist attraction","Tehran Province, Tehran, District 3, Valiasr St, QCH6+54P Mellat Park",Tehran,Iran,Tehran,,Nature,17469.0,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
57,Niavaran Palace Historical Cultural Complex,Historical place museum,4.6,2727.0,"Historical place museum, Garden, Historical place, Museum, Tourist attraction","Tehran Province, Tajrish, District 1, Niavaran Square, Bahonar St, RF6F+R27 Niavaran Palace Historical Cultural Complex",Tehran,Iran,Tehran,,Cultural,12544.199999999999,4.56,"Iranshahr, Karaj, Savojbolagh, Tehran"
58,Ferdows Garden,Garden,4.6,1938.0,"Garden, Tourist attraction","Tehran Province, Tajrish, District 1, Valiasr St, RC3C+2QQ Ferdows Garden",Tehran,Iran,Tehran,,Nature,8914.8,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
59,Iranian Garden,Park,4.5,1733.0,"Park, Memorial park, Tourist attraction","Tehran Province, Tehran, District 3, Sbry, Q9CR+Q4V Iranian Garden",Tehran,Iran,Tehran,,Nature,7798.5,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
60,Nahjol-Balagheh Park (Phase 1),City park,4.4,1553.0,"City park, Park, Tourist attraction","Tehran Province, Tehran, District 2, Hemmat Expy, Q84R+CVQ Nahjol-Balagheh Park (Phase 1)",Tehran,Iran,Tehran,,Nature,6833.200000000001,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
61,Bam-e Tehran,Scenic spot,4.5,1270.0,"Scenic spot, Tourist attraction","Tehran, Tochal Climbing Entry, RC95+5CV Bam-e Tehran",Tehran,Iran,Tehran,,Nature,5715.0,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
62,Parvaz Park,Park,4.4,1167.0,"Park, Tourist attraction","Parvaz Park, Q9Q4+PPP District 2, Tehran, Tehran Province",Tehran,Iran,Tehran,,Nature,5134.8,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
63,Masoudieh Palace,Tourist attraction,4.3,837.0,Tourist attraction,"Tehran, Mellat St, MCQH+Q5M Masoudieh Palace",Tehran,Iran,Tehran,,Entertainment,3599.1,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
64,Qasr Garden Museum,Museum,4.2,752.0,"Museum, Tourist attraction","Tehran Province, Tehran, Police Street, PCFX+C83 Qasr Garden Museum",Tehran,Iran,Tehran,,Cultural,3158.4,4.56,"Iranshahr, Karaj, Savojbolagh, Tehran"
65,Tehran Artificial Waterfall,Tourist attraction,4.2,621.0,Tourist attraction,"Tehran Artificial Waterfall, Q6C9+FFM, Tehran, Tehran Province",Tehran,Iran,Tehran,,Entertainment,2608.2000000000003,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
66,Tehran Waterfall Park,Park,4.1,462.0,"Park, Tourist attraction","Tehran Waterfall Park, Q688+VX2, Tehran, Tehran Province",Tehran,Iran,Tehran,,Nature,1894.1999999999998,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
67,Nahj al-Balagha Park (Phase 2),City park,4.3,433.0,"City park, Tourist attraction","Tehran Province, Tehran, District 2, mnTqh 2, thrn, stn, thrn,, Nahj al-Balagha Park (Phase 2)",Tehran,Iran,Tehran,,Nature,1861.8999999999999,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
68,Stone Statues,Tourist attraction,4.3,263.0,Tourist attraction,"Tehran Province, Vardij, Vardij-Varish Rd, R57C+QQV Stone Statues",Tehran,Iran,Tehran,,Entertainment,1130.8999999999999,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
69,Darakeh,Tourist attraction,4.6,243.0,Tourist attraction,"Tehran Province, Tajrish, Darakeh Square, Darakeh",Tehran,Iran,Tehran,,Entertainment,1117.8,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
70,Sky suspension bridge,Tourist attraction,4.3,160.0,Tourist attraction,"Tehran Province, Tehran, 17th St, Second Phase, Sky suspension bridge, Nahj Ol-Balagheh Park",Tehran,Iran,Tehran,,Entertainment,688.0,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
71,Ferdoos Park,Park,4.1,154.0,"Park, Tourist attraction","Tehran, stn thrn, thrn, frdws, blwr frdws Grby,, P8G5+FGQ Ferdoos Park",Tehran,Iran,Tehran,,Nature,631.4,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
72,Behjat Abad Park,Park,4.1,118.0,"Park, Tourist attraction","Tehran Province, Tehran, Karim Khan Zand Blvd, PC76+W83 Behjat Abad Park",Tehran,Iran,Tehran,,Nature,483.79999999999995,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
73,Vardij Valley,Tourist attraction,4.1,109.0,Tourist attraction,"Vardij Valley, R56F+3J2, Tehran, Tehran Province",Tehran,Iran,Tehran,,Entertainment,446.9,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
74,Tamadon Park,Park,4.1,97.0,"Park, Tourist attraction","Tehran Province, Tehran, Amiri Taeme St, myry Tymy, Tamadon Park",Tehran,Iran,Tehran,,Nature,397.7,4.43,"Iranshahr, Karaj, Savojbolagh, Tehran"
75,Iran Flag Tower,Tourist attraction,4.3,86.0,"Tourist attraction, Historical landmark","Tehran Province, Tehran, Haghani Hwy, QC2F+W73 Iran Flag Tower",Tehran,Iran,Tehran,,Entertainment,369.8,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
76,Tamaddon Alley,Tourist attraction,4.2,73.0,Tourist attraction,"Tamaddon Alley, MCX9+XJ7 District 12, Tehran, Tehran Province",Tehran,Iran,Tehran,,Entertainment,306.6,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
77,Kabotar Khan waterfall,Tourist attraction,4.5,68.0,Tourist attraction,"Kabotar Khan waterfall, RFPQ+2C5, Tehran, Tehran Province",Tehran,Iran,Tehran,,Entertainment,306.0,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
78,Square of Fame,Tourist attraction,4.2,61.0,Tourist attraction,"Tehran Province, Tehran, District 6, Nelson Mandela Blvd, PCW9+W7G Square of Fame",Tehran,Iran,Tehran,,Entertainment,256.2,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
79,Mahabad dam,Tourist attraction,4.6,186.0,Tourist attraction,"West Azerbaijan Province, Mahabad, dywr sd, QP92+H4W Mahabad dam",Naqadeh,Iran,West Azarbaijan,,Entertainment,855.5999999999999,4.58,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
80,Sule-dukal Waterfall,Tourist attraction,4.7,91.0,Tourist attraction,"Sule-dukal Waterfall, 5VF9+FW8, West Azerbaijan Province",Naqadeh,Iran,West Azarbaijan,,Entertainment,427.7,4.58,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
81,Teppe Hasanlu,Historical landmark,4.4,80.0,"Historical landmark, Tourist attraction","Teppe Hasanlu, 2F35+PGP, Naqadeh, West Azerbaijan Province",Naqadeh,Iran,West Azarbaijan,,Cultural,352.0,4.26,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
82,Alangdareh Park,National forest,4.6,683.0,"National forest, Tourist attraction","Golestan Province, Gorgan, Alangdareh Rd, No. Nahar Khoran, QCRX+XQP Alangdareh Park",Kordkuy,Iran,Golestan,,Nature,3141.7999999999997,4.55,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
83,Gorgan Palace Museum,Historical place museum,4.1,124.0,"Historical place museum, Tourist attraction","Gorgan Palace Museum, RCQM+FW2, Gorgan, Golestan Province",Kordkuy,Iran,Golestan,,Cultural,508.4,4.4,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
84,Imam Reza Forest Park,Park,4.4,91.0,"Park, Tourist attraction","Imam Reza Forest Park, P4J8+JWQ, Kordkuy, Golestan Province",Kordkuy,Iran,Golestan,,Nature,400.40000000000003,4.55,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
85,Ziarat Waterfall,Tourist attraction,4.4,76.0,Tourist attraction,"Golestan Province, Ziarat, jdh, MFF8+95X Ziarat Waterfall",Kordkuy,Iran,Golestan,,Entertainment,334.40000000000003,4.5,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
86,armgh y`qwb lyth Sfry,Historical landmark,4.6,185.0,"Historical landmark, Tourist attraction","armgh y`qwb lyth Sfry, 8G39+3R, Eslamabad, Khuzestan Province",Shushtar,Iran,Khuzestan,,Cultural,850.9999999999999,4.54,"Abadan, Ahvaz, Behbahan, Dezful, Shushtar"
87,Shushtar Historical Hydraulic System,Historical landmark,4.7,1113.0,"Historical landmark, Tourist attraction","Khuzestan Province, Shushtar, Taleghani St, 2VV5+J99 Shushtar Historical Hydraulic System",Shushtar,Iran,Khuzestan,,Cultural,5231.1,4.54,"Abadan, Ahvaz, Behbahan, Dezful, Shushtar"
88,Shush Castle,Castle,4.5,205.0,"Castle, Historical landmark, Tourist attraction","Khuzestan Province, Shush, Imam-Khomeini Boulevard, 56RW+4MQ Shush Castle",Shushtar,Iran,Khuzestan,,Cultural,922.5,4.54,"Abadan, Ahvaz, Behbahan, Dezful, Shushtar"
89,Salasel Castle,Historical landmark,4.4,155.0,"Historical landmark, Historical place, Tourist attraction","Khuzestan Province, Shushtar, ql`h slsl, 3V23+977 Salasel Castle",Shushtar,Iran,Khuzestan,,Cultural,682.0,4.54,"Abadan, Ahvaz, Behbahan, Dezful, Shushtar"
90,Shooshtar Bazaar,Market,4.3,95.0,"Market, Flea market, Tourist attraction","Khuzestan Province, Shushtar, Taleghani St, 2VR2+M95 Shooshtar Bazaar",Shushtar,Iran,Khuzestan,,Entertainment,408.5,4.36,"Abadan, Ahvaz, Behbahan, Dezful, Shushtar"
91,Shadorvan Bridge,Historical place museum,4.4,83.0,"Historical place museum, Tourist attraction","Khuzestan Province, Shushtar, Azadegan Bridge, 3R3X+CC2 Shadorvan Bridge",Shushtar,Iran,Khuzestan,,Cultural,365.20000000000005,4.54,"Abadan, Ahvaz, Behbahan, Dezful, Shushtar"
92,Lashkar Bridge,Historical place,4.3,69.0,"Historical place, Tourist attraction","Khuzestan Province, Shushtar, khmyth swkht, Lashkar Bridge, pl ssny lshgr",Shushtar,Iran,Khuzestan,,Cultural,296.7,4.54,"Abadan, Ahvaz, Behbahan, Dezful, Shushtar"
